phase,paper_id,search_time,paper_time,graph_time,external_calls
cold,W2896457183,1.4475951194763184,1.75229811668396,7.696334600448608,8
cold,W4292779060,0.7141814231872559,0.888596773147583,5.571166276931763,6
cold,W2981731882,2.2044785022735596,1.1600306034088135,6.49307107925415,8
cold,W4231109964,2.332050085067749,0.6955878734588623,11.369929313659668,7
cold,W2072128103,0.1380448341369629,0.871549129486084,5.1772990226745605,6
cold,W2953522645,2.009495735168457,1.8173608779907227,19.968011379241943,7
cold,W2999615587,2.953017234802246,0.8662300109863281,5.44877290725708,6
cold,W4205164650,2.7342381477355957,0.8955535888671875,15.993972301483154,8
cold,W2998175747,2.3109982013702393,1.1179437637329102,6.120734453201294,8
cold,W2969625533,2.1000735759735107,1.15602707862854,8.536231756210327,8
cold,W2902634493,2.7133519649505615,0.91973876953125,6.261686086654663,7
cold,W3027879771,2.2631051540374756,0.983278751373291,5.7736382484436035,8
cold,W2916904544,2.202653169631958,0.9249284267425537,16.78917121887207,7
cold,W3029022390,2.029308319091797,0.9340922832489014,28.39893937110901,8
cold,W3116286104,2.443737268447876,0.9054434299468994,3.3504977226257324,4
cold,W2969519626,2.0980772972106934,0.8906207084655762,5.925414323806763,8
cold,W4385245566,2.6656224727630615,7.450277090072632,5.4998462200164795,6
cold,W3003385079,2.180720806121826,0.9440963268280029,5.57539176940918,7
cold,W4360620450,2.415987730026245,21.132145643234253,5.775163173675537,7
cold,W3214897310,2.134929895401001,0.7481489181518555,5.633710145950317,8
cold,W4385071300,2.6829402446746826,1.558739423751831,6.106525659561157,8
cold,W3135539146,2.8580574989318848,0.9239826202392578,4.885247230529785,7
cold,W2796755741,2.124290704727173,0.6733419895172119,6.321115493774414,7
cold,W3215201135,2.1339786052703857,1.349224328994751,5.2326860427856445,6
cold,W1603565383,2.0262937545776367,0.8704929351806641,5.504753351211548,8
cold,W2985543011,2.0305802822113037,0.8573265075683594,4.920687913894653,6
cold,W3088017652,3.3499679565429688,0.8958916664123535,5.748758316040039,7
cold,W4319662928,2.033189058303833,3.047506332397461,4.6843531131744385,5
cold,W2250706791,1.7536284923553467,0.7472877502441406,5.924717664718628,7
cold,W2582336686,1.9799776077270508,2.3943557739257812,9.270577192306519,7
cold,W2747592475,1.4666452407836914,0.9663608074188232,14.349474906921387,8
cold,W3013277995,2.2650954723358154,0.9092001914978027,25.53779101371765,8
cold,W3025637241,2.03202223777771,0.8832488059997559,5.636093378067017,8
cold,W3000716014,2.1995880603790283,0.6559634208679199,8.099490404129028,7
cold,W3017117984,2.1058130264282227,0.9482576847076416,5.9432666301727295,8
cold,W4386693657,2.000352382659912,0.9504485130310059,5.3832175731658936,7
cold,W2528491735,2.413011312484741,0.9095802307128906,4.966977834701538,6
cold,W3008828973,2.266148805618286,0.9345712661743164,5.576083421707153,7
cold,W4366817968,1.8336222171783447,0.8888208866119385,10.884916305541992,7
