phase,paper_id,graph_time,external_calls
cold,W2896457183,6.657741546630859,9
cold,W4292779060,5.005976438522339,7
cold,W2981731882,6.312947988510132,9
cold,W4231109964,5.236613512039185,8
cold,W2072128103,5.440683603286743,7
cold,W2953522645,5.286739110946655,8
cold,W2999615587,5.797111511230469,7
cold,W4205164650,6.567972421646118,9
cold,W2998175747,6.398613452911377,9
cold,W2969625533,5.848737716674805,9
cold,W2902634493,5.4839136600494385,8
cold,W3027879771,5.945537805557251,9
cold,W2916904544,5.31955361366272,8
cold,W3029022390,5.683473825454712,9
cold,W3116286104,4.316671848297119,5
cold,W2969519626,6.166686058044434,9
cold,W4385245566,8.075231790542603,7
cold,W3003385079,8.47607684135437,8
cold,W4360620450,9.270010471343994,8
cold,W3214897310,8.63713026046753,9
warm,W2896457183,0.17601585388183594,0
warm,W4292779060,0.14528894424438477,0
warm,W2981731882,0.1668250560760498,0
warm,W4231109964,0.14044499397277832,0
warm,W2072128103,0.16698861122131348,0
warm,W2953522645,0.19388699531555176,0
warm,W2999615587,0.15074634552001953,0
warm,W4205164650,0.23904871940612793,0
warm,W2998175747,0.19994187355041504,0
warm,W2969625533,0.18004226684570312,0
warm,W2902634493,2.0746846199035645,1
warm,W3027879771,2.0101194381713867,1
warm,W2916904544,0.16231083869934082,0
warm,W3029022390,0.19741559028625488,0
warm,W3116286104,0.18453693389892578,0
warm,W2969519626,0.2466716766357422,0
warm,W4385245566,0.17700600624084473,0
warm,W3003385079,0.15903425216674805,0
warm,W4360620450,0.25020718574523926,0
warm,W3214897310,0.19296956062316895,0
